index,id,title,actors,director
0,19995,Avatar,Sam Worthington Zoe Saldana Sigourney Weaver,James Cameron
1,285,Pirates of the Caribbean: At World's End,Johnny Depp Orlando Bloom Keira Knightley,Gore Verbinski
2,206647,Spectre,Daniel Craig Christoph Waltz Léa Seydoux,Sam Mendes
3,49026,The Dark Knight Rises,Christian Bale Michael Caine Gary Oldman,Christopher Nolan
4,49529,John Carter,Taylor Kitsch Lynn Collins Samantha Morton,Andrew Stanton
5,559,Spider-Man 3,Tobey Maguire Kirsten Dunst James Franco,Sam Raimi
6,38757,Tangled,Zachary Levi Mandy Moore Donna Murphy,Byron Howard
7,99861,Avengers: Age of Ultron,Robert Downey Jr. Chris Hemsworth Mark Ruffalo,Joss Whedon
8,767,Harry Potter and the Half-Blood Prince,Daniel Radcliffe Rupert Grint Emma Watson,David Yates
9,209112,Batman v Superman: Dawn of Justice,Ben Affleck Henry Cavill Gal Gadot,Zack Snyder
10,1452,Superman Returns,Brandon Routh Kevin Spacey Kate Bosworth,Bryan Singer
11,10764,Quantum of Solace,Daniel Craig Olga Kurylenko Mathieu Amalric,Marc Forster
12,58,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp Orlando Bloom Keira Knightley,Gore Verbinski
13,57201,The Lone Ranger,Johnny Depp Armie Hammer William Fichtner,Gore Verbinski
14,49521,Man of Steel,Henry Cavill Amy Adams Michael Shannon,Zack Snyder
15,2454,The Chronicles of Narnia: Prince Caspian,Ben Barnes William Moseley Anna Popplewell,Andrew Adamson
16,24428,The Avengers,Robert Downey Jr. Chris Evans Mark Ruffalo,Joss Whedon
17,1865,Pirates of the Caribbean: On Stranger Tides,Johnny Depp Penélope Cruz Ian McShane,Rob Marshall
18,41154,Men in Black 3,Will Smith Tommy Lee Jones Josh Brolin,Barry Sonnenfeld
19,122917,The Hobbit: The Battle of the Five Armies,Martin Freeman Ian McKellen Richard Armitage,Peter Jackson
20,1930,The Amazing Spider-Man,Andrew Garfield Emma Stone Rhys Ifans,Marc Webb
21,20662,Robin Hood,Russell Crowe Cate Blanchett Max von Sydow,Ridley Scott
22,57158,The Hobbit: The Desolation of Smaug,Martin Freeman Ian McKellen Richard Armitage,Peter Jackson
23,2268,The Golden Compass,Dakota Blue Richards Nicole Kidman Daniel Craig,Chris Weitz
24,254,King Kong,Naomi Watts Jack Black Adrien Brody,Peter Jackson
25,597,Titanic,Kate Winslet Leonardo DiCaprio Frances Fisher,James Cameron
26,271110,Captain America: Civil War,Chris Evans Robert Downey Jr. Scarlett Johansson,Anthony Russo
27,44833,Battleship,Taylor Kitsch Alexander Skarsgård Rihanna,Peter Berg
28,135397,Jurassic World,Chris Pratt Bryce Dallas Howard Irrfan Khan,Colin Trevorrow
29,37724,Skyfall,Daniel Craig Judi Dench Javier Bardem,Sam Mendes
30,558,Spider-Man 2,Tobey Maguire Kirsten Dunst James Franco,Sam Raimi
31,68721,Iron Man 3,Robert Downey Jr. Gwyneth Paltrow Don Cheadle,Shane Black
32,12155,Alice in Wonderland,Mia Wasikowska Johnny Depp Anne Hathaway,Tim Burton
33,36668,X-Men: The Last Stand,Hugh Jackman Halle Berry Ian McKellen,Brett Ratner
34,62211,Monsters University,Billy Crystal John Goodman Steve Buscemi,Dan Scanlon
35,8373,Transformers: Revenge of the Fallen,Shia LaBeouf Megan Fox Josh Duhamel,Michael Bay
36,91314,Transformers: Age of Extinction,Mark Wahlberg Stanley Tucci Kelsey Grammer,Michael Bay
